centroide_lon,centroide_lat,populacao_estimada,tempo_minutos
-46.41046999999998,-23.589132403810623,542.3102564102564,1.5966666666666667
-46.41046999999998,-23.58713240381026,542.3102564102564,1.1916666666666667
-46.41046999999998,-23.585132403809894,542.3102564102564,2.9583333333333335
-46.41046999999998,-23.583132403809536,542.3102564102564,2.5483333333333333
-46.41046999999998,-23.58113240380918,542.3102564102564,1.1483333333333334
-46.41046999999999,-23.579132403808813,542.3102564102564,6.8516666666666675
-46.410469999999975,-23.577132403808452,542.3102564102564,2.8866666666666663
-46.41046999999998,-23.57513240380809,542.3102564102564,3.5883333333333334
-46.410469999999975,-23.57313240380773,542.3102564102564,3.941666666666667
-46.41046999999998,-23.571132403807372,542.3102564102564,4.46
-46.410469999999975,-23.569132403807007,542.3102564102564,5.5233333333333325
